yyyymm,等ウェイト,高配当,最小分散,クオリティ,企業価値,市場指数
201501,1.196850394,0.887614997,3.759011329,2.319742372,-0.63229849,0.261716061
201502,7.780890134,7.235485497,6.277915633,7.030833244,9.051822976,7.951856455
201503,1.825007219,0.581146911,2.241419566,2.940590112,0.846343899,1.973864043
201504,2.801883047,4.889965163,2.266499201,-0.32439237,5.04587156,3.325927491
201505,4.728275862,4.73895257,2.411656339,4.711711274,6.019253672,5.059293665
201506,-2.776314403,-3.762713175,-2.403924775,-1.790601661,-3.426164287,-3.070983551
201507,2.546735302,1.972996866,5.06590706,2.668744981,1.735084573,1.728420465
201508,-7.318361955,-6.312802932,-6.347349955,-9.031100478,-8.036777667,-7.868718245
201509,-6.77309008,-7.932702419,-5.687688029,-7.196682345,-7.791131372,-7.785432762
201510,10.45132094,11.53090593,8.600662052,11.91280654,10.97191011,10.9295286
201511,1.749626267,0.270347766,0.648414986,3.286910791,0.192375842,1.144650039
201512,-2.32355662,-0.800686303,-0.192720665,-1.169204658,-2.364711232,-2.085554203
201601,-6.479108635,-5.155870362,-3.470153371,-6.497161666,-8.59079853,-7.637057867
201602,-8.476797522,-6.743085407,-6.132479854,-6.489464823,-10.7399649,-9.316551585
201603,4.699297058,4.651271068,3.695811008,4.577445578,4.858556387,4.439187566
201604,-0.267313192,-0.636205899,-0.92772004,-1.476419032,-0.393176869,-0.377507624
201605,2.505765755,1.602937226,1.926154211,1.731532963,2.453391632,2.575003108
201606,-9.808452417,-9.774369822,-6.37864868,-6.391838434,-11.7301879,-9.754562981
201607,6.000539374,6.168799453,3.564995963,4.670818505,7.574536664,6.375085549
201608,0.32438621,2.875281778,-2.740629685,-2.996175096,3.995006242,1.318020564
201609,0.729094021,-0.764690099,2.047108151,1.807228916,-1.476590636,-0.394654069
201610,5.224068479,6.299851291,2.719033233,5.233996772,6.171560863,5.141297807
201611,5.311640148,6.286828607,3.988235294,2.070234627,8.13679922,5.816417894
201612,4.089514938,2.915603063,3.501527322,2.433894231,4.308835235,3.375461897
201701,0,-0.28291284,-0.896321801,-0.59646035,0.157704634,0.110861873
201702,1.238677289,0.042751652,0.540451111,0.457407043,0.690776107,0.504018174
201703,-0.803104619,0.17093353,-0.126158741,0.876376989,-1.457828894,-0.638962831
201704,1.304064334,1.605584642,0.972100176,0.825082508,0.839518812,1.086122914
201705,2.655009655,1.324478034,3.432145771,4.755944931,0.685313975,2.201193381
201706,2.931187627,2.527687787,1.561842659,1.769138866,3.494000202,2.702512916
201707,0.23857868,0.797295808,-0.38833946,0.668262067,0.199736932,0.330634212
201708,-0.541854459,-0.415542757,0.670547874,0.654855349,-0.777907429,-0.43955509
201709,3.83910387,4.450951684,2.209944751,3.382202219,4.949039592,4.407623257
201710,5.119152692,5.151387721,3.995958575,3.715517241,5.047156597,5.602045451
201711,1.609291912,0.773178698,1.471874089,1.358989278,0.955598027,1.430535231
201712,1.983197907,1.491500761,0.248934846,-0.028701464,2.122039271,1.388063095
201801,1.04433941,0.889569553,0.415452939,-0.754655073,0.668218658,1.338875689
201802,-4.16536731,-4.382791809,-2.439604337,-2.186131085,-4.038370948,-3.710811179
201803,-1.622350316,-1.729437595,0.121862052,0.883011534,-2.798107819,-2.30053691
201804,4.044795161,3.712233183,3.515092502,1.37783734,4.857444562,3.578197016
201805,-1.457831872,-3.914095383,-1.058225943,1.916800925,-2.837252069,-1.67860262
201806,-0.672873076,-1.48316777,0.223415886,-0.632321349,-0.739038349,-0.596475333
201807,0.923348181,1.600028009,0.545437298,1.121762186,2.360739093,1.465509153
201808,-1.452806768,-2.332954271,-2.037831973,-0.93182735,-1.046702444,-0.717767611
201809,5.369722417,4.766777221,5.518370492,4.161407223,6.283895836,5.678537055
201810,-9.187107057,-6.994914626,-6.680965637,-11.67272585,-7.915489394,-9.040316285
201811,2.101311491,-1.470162225,2.948799452,0.823190971,0.045795933,1.018797929
201812,-9.777217318,-8.679627753,-6.650432446,-8.133929354,-9.791235335,-9.808102345
201901,4.96645546,6.588638886,3.355221732,3.310752791,6.12030219,5.238770686
201902,1.917443409,0.028398334,2.228024369,4.802364241,1.099396233,2.264354389
201903,0.252591238,-1.665562601,-0.238379023,0.81952767,-0.561547375,0.158158334
201904,1.242397915,1.587912617,-1.664106503,0.699239577,1.738974543,2.017720853
